Pesquisa na web do Google interesse: water
Todo o mundo Na última hora

Interesse ao longo do tempo
Tempo,water
2016-10-16-17:12 UTC,98
2016-10-16-17:13 UTC,98
2016-10-16-17:14 UTC,90
2016-10-16-17:15 UTC,97
2016-10-16-17:16 UTC,96
2016-10-16-17:17 UTC,96
2016-10-16-17:18 UTC,98
2016-10-16-17:19 UTC,91
2016-10-16-17:20 UTC,97
2016-10-16-17:21 UTC,93
2016-10-16-17:22 UTC,90
2016-10-16-17:23 UTC,92
2016-10-16-17:24 UTC,95
2016-10-16-17:25 UTC,97
2016-10-16-17:26 UTC,91
2016-10-16-17:27 UTC,98
2016-10-16-17:28 UTC,95
2016-10-16-17:29 UTC,94
2016-10-16-17:30 UTC,100
2016-10-16-17:31 UTC,100
2016-10-16-17:32 UTC,94
2016-10-16-17:33 UTC,96
2016-10-16-17:34 UTC,91
2016-10-16-17:35 UTC,94
2016-10-16-17:36 UTC,96
2016-10-16-17:37 UTC,97
2016-10-16-17:38 UTC,99
2016-10-16-17:39 UTC,98
2016-10-16-17:40 UTC,97
2016-10-16-17:41 UTC,94
2016-10-16-17:42 UTC,93
2016-10-16-17:43 UTC,92
2016-10-16-17:44 UTC,94
2016-10-16-17:45 UTC,87
2016-10-16-17:46 UTC,87
2016-10-16-17:47 UTC,83
2016-10-16-17:48 UTC,96
2016-10-16-17:49 UTC,93
2016-10-16-17:50 UTC,92
2016-10-16-17:51 UTC,91
2016-10-16-17:52 UTC,90
2016-10-16-17:53 UTC,85
2016-10-16-17:54 UTC,92
2016-10-16-17:55 UTC,82
2016-10-16-17:56 UTC,84
2016-10-16-17:57 UTC,83
2016-10-16-17:58 UTC,84
2016-10-16-17:59 UTC,82
2016-10-16-18:00 UTC,77
2016-10-16-18:01 UTC,79
2016-10-16-18:02 UTC,76
2016-10-16-18:03 UTC,76
2016-10-16-18:04 UTC,69
2016-10-16-18:05 UTC,65
2016-10-16-18:06 UTC,66
2016-10-16-18:07 UTC, 
2016-10-16-18:08 UTC, 
2016-10-16-18:09 UTC, 
2016-10-16-18:10 UTC, 
2016-10-16-18:11 UTC, 


Principais regiões para water
Região,water
Trinidad e Tobago,100
África do Sul,100
Jamaica,99
Estados Unidos,95
Austrália,87
Gana,85
Canadá,82
Reino Unido,76
Cingapura,72
Emirados Árabes Unidos,71
Filipinas,67
Quênia,61
Nova Zelândia,59
Nigéria,58
Irlanda,55
Catar,48
Índia,46
Malásia,42
Holanda,40
Líbano,39
Kuwait,34
Paquistão,33
Sri Lanka,32
Bélgica,23
Noruega,18
Bangladesh,18
Israel,15
Arábia Saudita,14
Egito,14
Dinamarca,13
Suécia,13
Portugal,13
Indonésia,12
Finlândia,11
Tailândia,11
Grécia,11
Suíça,10
Romênia,9
Itália,8
República Tcheca,8
Espanha,7
Alemanha,6
Chile,6
Áustria,6
Brasil,6
Turquia,6
Irã,6
México,6
França,5
Polônia,5
Argentina,4
Rússia,2


Principais cidades para water
Cidade,water
Wilmington (Estados Unidos),100
Kings Grant (Estados Unidos),93
Scottsdale (Estados Unidos),14
Raleigh (Estados Unidos),13
Henderson (Estados Unidos),13
Fort Lauderdale (Estados Unidos),13
Kingston (Jamaica),13
Richmond Hill (Canadá),12
Corpus Christi (Estados Unidos),12
Lubbock (Estados Unidos),12
Tampa (Estados Unidos),12
Norfolk (Estados Unidos),12
Waterloo (Canadá),12
Reno (Estados Unidos),12
Vaughan (Canadá),12



Principais pesquisas para water
cold water,100
cold water lyrics,75
hell or high water,60
falling water,45
water cycle,25
how much water should you drink a day,25
water garden,20
alkaline water,20
density of water,20
distilled water,15
portuguese water dog,15
water bottle,15
coconut water,15
water pollution,15
thames water,15
water bottle flip,15
gripe water,15
smoke on the water,15
justin bieber cold water,15
swell water bottle,10
water park,10
water moccasin,10
anglian water,10
tankless water heater,10
fire boy water girl,10
detox water,10
water softener,10
save water,10
water purifier,10
davidoff cool water,10
rio water planet,10
kangen water,10
cold water mp3 download,10
tonic water,10
water chestnuts,10
major lazer cold water,10
hot water bottle,10
water pump,10
fiji water,10
black water,5
falling water tv show,5
chinese water deer,5
boiling point of water,5
open water,5
lyf water 7,5
water heater,5
bridge over troubled water,5
water bear,5
water infection,5
water dispenser,5



Pesquisas em ascensão para water
coconut water,+100%
water bear,+90%
water chestnuts,+90%
everything but water,+70%
evian water,+70%
falling water tv show,+60%
water cooler,+60%
white water rafting,+60%
specific heat of water,+50%
density of water,+40%



